store_token,transaction_id,receipt_token,transaction_time,amount,user_role
3fa2e9b8-f282-4d09-9b66-994c4effe132,07b513ca-6cdb-4207-b309-1fb1830a0bce,KSZI4X3,20260604T104606.000,189.97,Seller
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,dd1db4ac-fa6a-4f28-92ff-1000d81276c9,WMMJI,20260604T170010.000,269.7,Seller
3fa2e9b8-f282-4d09-9b66-994c4effe132,4efca682-df38-47bf-adce-04b754909feb,QTRSL,20260604T155950.000,213.38,Manager
54697b19-da4f-49e7-b931-e74fbee8c0da,6e136c2e-d6c1-4805-855f-5cec4575a8e5,FILWON,20260604T212704.000,69.96,Manager
619de4ec-97bf-4f7a-a2db-823de12827b3,ae4e8d0c-5191-4b3e-9205-b740d26a3006,UI3KCCR,20260604T202720.000,198.91,Cashier
15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,0568a1ba-a406-4c78-8dea-b5b4cd965a01,YUEH62DNDYXG,20260604T114442.000,96.99,Seller
619de4ec-97bf-4f7a-a2db-823de12827b3,586bba2f-9b06-435e-93ec-7275ea078370,H859LY,20260604T173109.000,74.81,Cashier
619de4ec-97bf-4f7a-a2db-823de12827b3,2b9a9ba7-4fa1-4a79-9d6f-eb32794aa2ee,WWZF7JBTHF2,20260604T171054.000,270.31,Seller
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,0f2d935e-3ec2-42f8-baae-e3db537d19ca,LF416Z6T,20260604T222455.000,194.75,Trainee
74752c03-8ac5-44d6-bfae-82bb7056304d,bf3e2d37-658b-4acf-9bed-43ca5c28336c,BNMDO91TR,20260604T182002.000,204.17,Cashier
74752c03-8ac5-44d6-bfae-82bb7056304d,bd62da90-8daf-4d2a-b764-75cf712ff6cb,VLDRPYM9S1P,20260604T222403.000,110.57,Trainee
0b718938-3ecc-4919-81de-e58ea054e10b,a946378e-5261-492e-9025-d6c0df9192ca,YAQV3WME9YXE,20260604T173733.000,184.65,Manager
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,581869ce-bb40-4986-8108-e49eaa1e744a,EXEL8ILTKQMW,20260604T140946.000,221.59,Trainee
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,dafb2ea9-7bcf-47c8-a4e5-af939788fc50,TVQVWG,20260604T192143.000,31.98,Seller
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,469b295b-2d7e-430a-925c-92141d786ca9,66531Y7,20260604T124047.000,44.65,Manager
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,c0804a03-7a15-494c-8cc1-cafe99607e64,YB8GLG39,20260604T181856.000,130.71,Trainee
0b718938-3ecc-4919-81de-e58ea054e10b,205045e2-a33a-4bb0-b481-650929f00877,XQD3GIBFT,20260604T091313.000,248.63,Manager
54697b19-da4f-49e7-b931-e74fbee8c0da,9de40120-5a62-4168-8e86-1adda0cf9374,F4864,20260604T180548.000,123.29,Manager
15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,5ea87185-0032-4cef-9e10-f415550b9124,RM6DQ897TW,20260604T203157.000,68.66,Cashier
9b97cd51-786f-4f11-b59d-8628e7c09d3a,a40b12e7-ccf8-486c-9ccf-95659bef48aa,XC7LIJT9B9,20260604T140152.000,277.66,Manager
ed1d2176-81d1-4f7f-8120-239866b57119,2eb47b1b-9a37-4c7d-961a-4576c8a979aa,37OG6LWBJ,20260604T185950.000,60.74,Manager
15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,c5919596-6d6e-41f3-b649-11e22d53862f,PLGZBX4CR0F,20260604T083717.000,124.43,Manager
619de4ec-97bf-4f7a-a2db-823de12827b3,32cef1a3-ff45-47ec-b3c1-b62d793cb4e1,UB1B25YF,20260604T184938.000,283.83,Manager
619de4ec-97bf-4f7a-a2db-823de12827b3,ef616fff-233e-4f9f-9be7-7d2d6b744088,E5WD1H2VR,20260604T113123.000,271.73,Cashier
ed1d2176-81d1-4f7f-8120-239866b57119,b3a1167f-9788-40a9-b332-59c0fe6b03cb,E9A1IZ05,20260604T205014.000,292.6,Cashier
a868d35c-272d-4e57-ae73-e9cbdbb4fa3b,8c7d6713-df5b-4f82-aa58-a447df964bea,HHPYBASCO81B,20260604T214650.000,34.69,Cashier
ed1d2176-81d1-4f7f-8120-239866b57119,4e02a36d-77a4-4565-b40d-48eea17c5d06,LJP1E8R4AU,20260604T194919.000,254.37,Cashier
0b718938-3ecc-4919-81de-e58ea054e10b,d23ece95-a2d5-41fd-8c48-32364e80261c,KLL204N,20260604T101323.000,290.44,Seller
74752c03-8ac5-44d6-bfae-82bb7056304d,1f028726-2a3a-47af-8537-4933191e15f5,QOMEGVE0J,20260604T081042.000,98.38,Trainee
619de4ec-97bf-4f7a-a2db-823de12827b3,7d614341-41f4-4648-a8ee-1743de84ee8a,I0PS4GOQFW4,20260604T084323.000,87.0,Seller
0c64347f-7789-4cd5-8349-0e099a24b07d,0e3e9975-63c3-4341-b0f5-614087afb9c9,XNZ301H,20260604T143721.000,108.4,Seller
809d7eb3-66cd-4589-a447-22c493d955a5,0d3bf671-5d53-4f45-8db0-1506c9612a18,F1QNGQ374,20260604T213512.000,235.35,Trainee
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,f472e26d-fa82-4103-bc20-40cc77d096fe,T4Q5ZNAY0,20260604T173617.000,20.15,Cashier
cc453118-028c-4623-86b1-342d5724538f,35f05a48-c728-4138-a8cd-90fe24a6130d,ZQ63MKWT4IC,20260604T120008.000,17.17,Cashier
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,82272d8d-4700-4411-8f13-8cb6d43dff1a,O6G48V8JB,20260604T182332.000,254.12,Manager
809d7eb3-66cd-4589-a447-22c493d955a5,69155729-4eec-4720-bab1-c6d386508efc,UXCW6C2LHW2K,20260604T162355.000,77.6,Cashier
ed1d2176-81d1-4f7f-8120-239866b57119,e4513bf7-6236-41b8-bff2-8e734201d536,4HN79AS,20260604T162634.000,82.96,Trainee
809d7eb3-66cd-4589-a447-22c493d955a5,87748d78-c276-478b-923b-57d403406eb6,X9R6E,20260604T131622.000,113.44,Seller
3fa2e9b8-f282-4d09-9b66-994c4effe132,c35857c8-95e5-4fd5-9210-f7f552622439,O5NZ2W4KT,20260604T195229.000,282.7,Manager
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,618cfd25-3779-4ac7-9d75-e6432249c077,471S0M6AX,20260604T123025.000,102.2,Seller
0c64347f-7789-4cd5-8349-0e099a24b07d,9cc79249-a370-4216-9ad3-9ac6a9470147,9XEFZS37B,20260604T101548.000,188.54,Trainee
a868d35c-272d-4e57-ae73-e9cbdbb4fa3b,92894d46-c9c9-4003-94a9-8fac147dac10,4UVI5,20260604T081744.000,48.84,Cashier
74752c03-8ac5-44d6-bfae-82bb7056304d,135180c1-13fe-4960-8183-fd0fc4bae1d3,ZMH0T,20260604T225423.000,181.63,Seller
9b97cd51-786f-4f11-b59d-8628e7c09d3a,38d2bb99-071d-488b-bf7f-8a25390aaf79,H5NVIUJYVP,20260604T111620.000,57.04,Trainee
a868d35c-272d-4e57-ae73-e9cbdbb4fa3b,add536c7-e2f3-472d-9a48-359400460663,4DXJO,20260604T150649.000,38.65,Manager
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,3645207f-af33-43ea-b098-4a5bc62fa894,IZ51PO,20260604T143305.000,180.53,Trainee
15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,727e4b4c-39d0-4aa5-9d52-520961779bef,IYB3UQBE7Z,20260604T160201.000,254.23,Cashier
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,0abe6bb5-26ca-49fe-b144-6cd158508f87,1M07OBUXS7,20260604T214314.000,91.16,Trainee
54697b19-da4f-49e7-b931-e74fbee8c0da,0021b54f-5dc1-4908-943f-f288b91c32ba,N2RPM4F6K3C,20260604T200032.000,92.59,Cashier
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,b9b9dd2b-f266-4395-8347-1ce45af40c00,SGR5EU2NJX1X,20260604T153731.000,253.06,Cashier
ed1d2176-81d1-4f7f-8120-239866b57119,a871a976-3f4a-4c5e-82fd-01aa35aefaeb,6CE8TCT9FYX2,20260604T184642.000,133.01,Manager
74752c03-8ac5-44d6-bfae-82bb7056304d,12d29e93-cc2e-48aa-85c3-9f5493ae2ebf,A3BPAQDUOIU,20260604T160308.000,22.82,Seller
25a8e238-9418-45ad-91be-696b1680f99c,8834a25f-44e4-4018-84ac-6eb6590f0cdc,R10FF6ISYUF1,20260604T200450.000,101.03,Cashier
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,fb040316-f8eb-47a5-9a4c-a9550f02d288,GT01BXU17O6T,20260604T143651.000,97.88,Cashier
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,689a7872-9fcf-42ec-913a-f286b7e79d38,4LM9CWIXC5O,20260604T165805.000,193.19,Trainee
3fa2e9b8-f282-4d09-9b66-994c4effe132,79ef2a22-9e2b-4a26-a0ba-e3fbca6db912,IX1L3OSI,20260604T153954.000,89.82,Manager
ce406b6e-efe3-4d98-87ac-00ccee88f463,f538dd67-22df-412e-8bf1-d4dbaafe0e6c,DPSN2QI1G,20260604T123348.000,242.51,Seller
619de4ec-97bf-4f7a-a2db-823de12827b3,d262262d-85c5-41c6-abf0-5a5be4085efa,3SQA9SZ,20260604T200642.000,184.5,Cashier
15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,bc886782-30f4-4cb1-8d0b-85dabc919391,LP3FNI8ECI6P,20260604T092147.000,281.47,Manager
9b97cd51-786f-4f11-b59d-8628e7c09d3a,5f77fbaa-ac88-443c-a6a3-1ee8bfae83b9,729TH784,20260604T152030.000,77.56,Trainee
54697b19-da4f-49e7-b931-e74fbee8c0da,476edba1-d85c-4101-b4b8-a4a15e462717,DJ0TN,20260604T175833.000,190.25,Manager
3fa2e9b8-f282-4d09-9b66-994c4effe132,3f93f206-8ad2-458a-ac80-c018cece0968,X3LPWCBJ4,20260604T131653.000,227.51,Cashier
cc453118-028c-4623-86b1-342d5724538f,82c7f219-66f2-418c-a8ff-f45719cf24ba,DBTY1ZX,20260604T162234.000,204.65,Cashier
ce406b6e-efe3-4d98-87ac-00ccee88f463,20ae615d-eb91-40c3-9c87-d06d69ca148c,EMX4M0ZM,20260604T172215.000,24.89,Trainee
809d7eb3-66cd-4589-a447-22c493d955a5,57c696c6-788b-486e-8fdc-e63ac593a774,BCLV016O,20260604T140605.000,33.16,Manager
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,b691980b-ad11-40a5-910f-b89bcb17d8e4,5CZ2L,20260604T164840.000,104.6,Cashier
74752c03-8ac5-44d6-bfae-82bb7056304d,622ab9cc-4f7f-4b07-880e-d490aed828aa,W40J1805XAU,20260604T192624.000,210.64,Manager
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,fcc15229-eb35-474b-af56-f44bd0f06c99,R53J8C,20260604T120602.000,251.23,Trainee
ed1d2176-81d1-4f7f-8120-239866b57119,aebe8c1c-3ffc-4406-906c-9acf2eae74e4,QAGQC4O,20260604T160109.000,92.75,Trainee
a868d35c-272d-4e57-ae73-e9cbdbb4fa3b,ddabb6eb-0c9a-4637-855d-a5deaf0a447f,NSKG1VD6NDTG,20260604T153149.000,182.28,Cashier
cc453118-028c-4623-86b1-342d5724538f,d0033746-a7c0-4075-a715-5fe36bf61e03,L9SU320T,20260604T140525.000,33.02,Seller
0c64347f-7789-4cd5-8349-0e099a24b07d,13a9202f-06fa-48f3-a0d3-baded7eacf08,DETDYJE0DAH,20260604T130240.000,75.2,Manager
809d7eb3-66cd-4589-a447-22c493d955a5,22ec8959-96f5-4d78-b362-835656a362ca,BLZ5ZY,20260604T203940.000,242.7,Seller
54697b19-da4f-49e7-b931-e74fbee8c0da,24052a36-3b3e-4fcf-b6cf-23a9873ff472,BSGM0W7V5,20260604T134847.000,295.08,Seller
74752c03-8ac5-44d6-bfae-82bb7056304d,4fc00352-a256-44ed-b76a-8d694091814c,DYHH1WPWYV5,20260604T195721.000,257.61,Trainee
25a8e238-9418-45ad-91be-696b1680f99c,3f3328df-0bc8-4f6f-89d9-d9241f16ce77,AC9K8HMUOL9,20260604T201058.000,77.41,Trainee
809d7eb3-66cd-4589-a447-22c493d955a5,fdf9770e-80f8-4063-8c5b-b7e36a4ccd6c,KSSPKVLTF9B,20260604T100836.000,36.6,Seller
74752c03-8ac5-44d6-bfae-82bb7056304d,1a37a027-ace3-4ea9-9745-6471f81c0d9a,LML99DWMLJQ,20260604T125504.000,36.71,Trainee
ce406b6e-efe3-4d98-87ac-00ccee88f463,f5903608-e4aa-4d80-9a86-29233b0875e0,5YPQX0F9J,20260604T200814.000,92.15,Cashier
54697b19-da4f-49e7-b931-e74fbee8c0da,01638b9e-7662-44bd-a8c8-085477d34614,HHB17WLBUUH,20260604T094452.000,178.6,Cashier
0c64347f-7789-4cd5-8349-0e099a24b07d,d57b3a18-1932-4e76-a13c-b482b0089b3a,HK8JB,20260604T183605.000,76.81,Manager
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,301c6449-c736-41dd-bb94-1235a3e96a47,NX14C1XZO1R,20260604T112613.000,164.31,Manager
809d7eb3-66cd-4589-a447-22c493d955a5,aabf7bc6-b613-4160-927e-b879b09faf09,4MAT9H2W,20260604T205640.000,46.12,Manager
9b97cd51-786f-4f11-b59d-8628e7c09d3a,cf2b028d-f7c9-43e1-a6b6-4c26f2fe25f6,RI1BUZY5,20260604T084320.000,130.41,Cashier
e89f7b31-7256-45cd-9cfd-773eadcf6ca6,01b2d170-cb7a-4abb-9683-1e2f3778638b,J29YLY3A3L,20260604T133821.000,190.72,Seller
25a8e238-9418-45ad-91be-696b1680f99c,473cc751-c5b5-44f3-baaf-ec8360da9a2e,XBOWBV,20260604T173341.000,85.54,Manager
7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,6ff41356-0f4a-4a05-947d-a48c72c5880d,R0H3R,20260604T225847.000,266.8,Manager
25a8e238-9418-45ad-91be-696b1680f99c,fb40cdf0-2089-44cc-bd69-c9395d7fb43d,PO2WBGX1TJJ,20260604T121416.000,118.61,Cashier
619de4ec-97bf-4f7a-a2db-823de12827b3,652c6f8c-709a-42e9-8cdf-aac6ea285d9b,1BB16RQQ5,20260604T155909.000,233.06,Trainee
25a8e238-9418-45ad-91be-696b1680f99c,0301daf6-8383-4b31-81ca-c0c661c33562,IYCC70H,20260604T171456.000,200.37,Cashier
809d7eb3-66cd-4589-a447-22c493d955a5,5404d8d1-3e89-493b-bf1b-a6b4f2a49c05,P1MOMLY,20260604T191713.000,244.07,Seller
0b718938-3ecc-4919-81de-e58ea054e10b,cf0c1dbb-bd64-4f12-bb5b-6f50889aa2c8,FHP2BBSUMC,20260604T212936.000,297.31,Seller
ed1d2176-81d1-4f7f-8120-239866b57119,b1564b61-cb99-445f-8ba7-da42e15221e3,I9LVC,20260604T215358.000,80.68,Manager
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,52284fa4-8eb3-4301-9586-c7729c099f0e,7MA2AZTOPDJ,20260604T211536.000,88.61,Cashier
ce406b6e-efe3-4d98-87ac-00ccee88f463,c2b44b4d-df93-40d2-a745-b327c7b88f10,MLT4FT8WVN06,20260604T091615.000,236.81,Manager
0c64347f-7789-4cd5-8349-0e099a24b07d,7603f80e-5827-4a7c-a315-a63f5e38f0e7,GPNIX2RO5J,20260604T190808.000,149.05,Trainee
54697b19-da4f-49e7-b931-e74fbee8c0da,32fa979a-338f-4393-a2eb-5ae26076a50e,QXU73,20260604T103552.000,258.11,Trainee
58f566e3-835f-42ea-ae7e-8315bc1c4bfd,683fd620-06f3-4fc6-8837-8f4393e73756,L6SFAKRGBV8,20260604T215524.000,139.82,Cashier
74752c03-8ac5-44d6-bfae-82bb7056304d,c396fc7c-2eec-4b44-bdc4-b2238ffaf2e6,YAXI72,20260604T170839.000,182.85,Cashier
