store_group,store_token,store_name
18BF9C,6434064d-dd58-4a3c-a8f8-ef905f51b825,Store 000001 - Beach
CF3FE9,83af0909-89ac-466b-9adf-f3f4eca03563,Store 000002 - Downtown
0F59BA,b0d6fb46-4656-48be-8678-fe61c8b1b931,Store 000003 - Mall
9DE337,0a9b8920-7ef3-4b8d-bc3e-265fd8b51129,Store 000004 - Beach
7FEF22,206001c8-c28b-48f9-a409-9e7536ea17e7,Store 000005 - Plaza
623633,a7405bfe-a0c2-43a3-b36b-6170fea28228,Store 000006 - Beach
BCB273,a3feebda-96b6-4da1-a8e6-637fea947c87,Store 000007 - Downtown
0A129B,adf6ca3f-39fa-4fe8-a13a-fea55218ad3a,Store 000008 - Downtown
21BB1F,f88c9fcc-a2fe-467f-afb3-fbd24a5c6e8f,Store 000009 - Downtown
C69132,d40e7a42-0e28-4c77-b654-e01ccdff60a8,Store 000010 - Market
1255EB,0b811f15-3d98-4f9c-ba07-1505617c47d5,Store 000011 - Downtown
2E8074,d828c12d-6a9b-4d42-8673-523d4bf4e9a7,Store 000012 - Plaza
FBDBA2,7913dd81-75e1-4a67-8303-b8f251a41d90,Store 000013 - Mall
C1E4A8,7d0d92dc-950a-47d6-98a0-7ece5667ddb4,Store 000014 - Plaza
8E1E64,8ec2f983-bfad-42f6-9896-b54a28226f41,Store 000015 - Beach
2725D4,f5e4cde1-7438-471c-a77c-16510f82d215,Store 000016 - Plaza
E39E2A,9e771243-eecd-4be9-8bbe-b28bbeb96101,Store 000017 - Market
2B2B1E,d477c298-0360-40d8-9878-07326b8961cb,Store 000018 - Beach
