store_group,store_token,store_name
942035BF,54697b19-da4f-49e7-b931-e74fbee8c0da,Store 000001 - Downtown
00AD1930,0b718938-3ecc-4919-81de-e58ea054e10b,Store 000002 - Beach
F95C0FB3,ce406b6e-efe3-4d98-87ac-00ccee88f463,Store 000003 - Mall
8F2D5CBC,7ae13118-81bb-4ac1-afa8-fcc3b9c96e0a,Store 000004 - Plaza
B5A14654,25a8e238-9418-45ad-91be-696b1680f99c,Store 000005 - Beach
988B7F2C,a868d35c-272d-4e57-ae73-e9cbdbb4fa3b,Store 000006 - Market
31FF81C8,15f7f26c-bcfe-4a0f-9bab-8238f1b7b4df,Store 000007 - Mall
36B6B390,74752c03-8ac5-44d6-bfae-82bb7056304d,Store 000008 - Downtown
984C3213,58fd0d3e-a590-4090-8104-363aeac003db,Store 000009 - Mall
C484AA34,cc453118-028c-4623-86b1-342d5724538f,Store 000010 - Beach
8A2EA4E9,619de4ec-97bf-4f7a-a2db-823de12827b3,Store 000011 - Beach
86B6D8E2,e89f7b31-7256-45cd-9cfd-773eadcf6ca6,Store 000012 - Downtown
01B84D94,ed1d2176-81d1-4f7f-8120-239866b57119,Store 000013 - Downtown
E40AE615,9b97cd51-786f-4f11-b59d-8628e7c09d3a,Store 000014 - Market
EAC21C6D,809d7eb3-66cd-4589-a447-22c493d955a5,Store 000015 - Downtown
EC645E87,0c64347f-7789-4cd5-8349-0e099a24b07d,Store 000016 - Beach
4E8CB57A,3fa2e9b8-f282-4d09-9b66-994c4effe132,Store 000017 - Market
7FCE45DA,58f566e3-835f-42ea-ae7e-8315bc1c4bfd,Store 000018 - Mall
